star_name,TSS_tier,ra,dec,sy_pmra,sy_pmdec,tic_id,gaia_dr3_id,hip_name,hd_name,tm_name,gj_name,simbad_name,sy_plx,sy_dist,st_lum,sy_vmag
TIC 3962869,1,12.53161911401,-10.64432912422,-228.03114929883463,-229.57749769142683,3962869,2473608009504466688,3909,HD 4813,2MASS J00500759-1038394,GJ 37,* phi02 Cet,62.8022373482063,15.917404174804688,0.2529836622661012,5.19
TIC 255854921,1,198.56310807767,-59.10323687612,-248.67816613618473,-153.17614681185552,255854921,6062166950467100032,64583,HD 114837,2MASS J13141513-5906114,GJ 503,HD 114837,54.82467908671826,18.23433303833008,0.4753805041641972,4.93
TIC 141810080,1,92.56030883373,-74.75304543914,121.59582336868252,-212.41087853342987,141810080,5264749303462961280,29271,HD 43834,2MASS J06101448-7445107,GJ 231,* alf Men,97.9157940060883,10.211668968200684,-0.0627104788018644,5.069
TIC 229092427,1,18.79634417103,-45.53166877538,665.0856537573542,178.0697950351904,229092427,4934923028038871296,5862,HD 7570,2MASS J01151112-4531540,GJ 55,* nu. Phe,65.52703093363316,15.254575729370115,0.3066114999128598,4.96
TIC 307754027,1,101.68473981359,43.57742859827,-2.705189551483919,164.52288308260762,307754027,952326504452337792,32480,HD 48682,2MASS J06464434+4334385,GJ 245,* psi05 Aur,60.202352350247246,16.60818099975586,0.2599909764277514,5.257
TIC 287157634,1,224.36667038925,-21.41547970163,1031.4718694823848,-1723.6189029383202,287157634,6232511606838403968,73184,HD 131977,2MASS J14572788-2124526,GJ 570,HD 131977,169.8842702825854,5.885025978088379,-0.6520365389824843,5.72
TIC 238115675,1,265.85747465488,-21.68319302391,-97.25257596448584,-44.61396749521905,238115675,4117290138348536064,86736,HD 160915,2MASS J17432580-2140593,GJ 692,*  58 Oph,58.2436975539037,17.167261123657227,0.4340302521279768,4.861
TIC 301880196,1,326.13054155637,14.77193953424,231.1077674078021,-113.20011180930898,301880196,1772187382746856320,107350,HD 206860,2MASS J21443131+1446190,GJ 9751,V* HN Peg,55.14799955273645,18.120813369750977,0.0553047129216524,5.977
TIC 447823435,1,157.8409220419,-53.71548257456,-419.934543069276,209.67075270384635,447823435,5357075947709011456,51523,HD 91324,2MASS J10312180-5342556,GJ 9332,* Y Vel,45.327579990833634,22.0493221282959,0.6491586370424027,4.89
TIC 80431620,1,11.43997068711,-47.55198514055,183.63534790636857,79.01452166151157,80431620,4975284381908412672,3583,HD 4391,2MASS J00454561-4733072,GJ 1021,HD   4391,66.45087121691725,15.04181957244873,-0.0314912887210556,5.794
